Year,Month,TWO WHEELER,THREE WHEELER,FOUR WHEELER
2021,JAN,1364597,34986,459127
2021,FEB,1242837,36817,421318
2021,MAR,1354082,42131,471138
2021,APR,960384,23941,324137
2021,MAY,459275,5823,171398
2021,JUN,1076403,16445,311536
2021,JUL,1293578,30377,451962
2021,AUG,1104887,33118,424734
2021,SEP,1033833,39744,383614
2021,OCT,1139126,43082,366492
2021,NOV,1601575,43837,384236
2021,DEC,1304194,47619,413203
2022,JAN,1154846,43649,423155
2022,FEB,1108494,42107,390354
2022,MAR,1289142,51802,456118
2022,APR,1331199,45546,427027
2022,MAY,1368600,44687,424810
2022,JUN,1229043,49539,423828
2022,JUL,1137145,54191,421294
2022,AUG,1181464,60619,438603
2022,SEP,1079001,68996,420165
2022,OCT,1725533,72307,475431
2022,NOV,1856722,80971,474033
2022,DEC,1137326,69576,438552
2023,JAN,1279713,71469,510346
2023,FEB,1272599,76988,470956
2023,MAR,1455048,90538,514622
2023,APR,1235909,73650,431871
2023,MAY,1499979,82240,453104
2023,JUN,1316306,89926,474387
2023,JUL,1234092,97948,482612
2023,AUG,1261405,103959,501203
2023,SEP,1318959,105963,475900
2023,OCT,1517946,110450,543064
2023,NOV,2259618,103941,522810
2023,DEC,1455744,98378,434517
2024,JAN,1465870,100160,682457
2024,FEB,1447167,96018,502884
2024,MAR,1538522,105351,496706
2024,APR,1650941,80130,463259
2024,MAY,1540928,98274,410410
2024,JUN,1381848,94327,358772
2024,JUL,1451100,110508,549263
2024,AUG,1345377,105494,488755
2024,SEP,1209587,106534,417162
2024,OCT,2076263,122850,652380
2024,NOV,2628442,108327,478583
2024,DEC,1203984,93889,447538
2025,JAN,1535144,107023,669482
2025,FEB,1362692,94191,457265
2025,MAR,1522254,99381,530395
2025,APR,1697097,99771,517186
2025,MAY,1661364,104451,503930
2025,JUN,1453296,100628,512080
2025,JUL,1359373,111419,500158
2025,AUG,555971,40456,203489

